id,speed,travel_time,status,data_as_of,link_id,link_name,link_points,encoded_poly_line,borough,owner,transcom_id,data_id
23,28.2,38.3,OK,2026-01-15T08:00:00.000,CHD_MM_023,Madhya Marg - Sec 23 to 24,"30.705,76.7756",,CHANDIGARH,CHDTA,1023,23
24,33.1,32.6,OK,2026-01-15T08:00:00.000,CHD_JM_001,Jan Marg - Seg 1,"30.7516,76.77",,CHANDIGARH,CHDTA,1024,24
25,35.9,30.1,OK,2026-01-15T08:00:00.000,CHD_JM_002,Jan Marg - Seg 2,"30.7596,76.773",,CHANDIGARH,CHDTA,1025,25
26,28.0,38.6,OK,2026-01-15T08:00:00.000,CHD_JM_003,Jan Marg - Seg 3,"30.7534,76.776",,CHANDIGARH,CHDTA,1026,26
27,29.7,36.4,OK,2026-01-15T08:00:00.000,CHD_JM_004,Jan Marg - Seg 4,"30.7509,76.779",,CHANDIGARH,CHDTA,1027,27
28,39.9,27.1,OK,2026-01-15T08:00:00.000,CHD_JM_005,Jan Marg - Seg 5,"30.751,76.782",,CHANDIGARH,CHDTA,1028,28
29,34.7,31.1,OK,2026-01-15T08:00:00.000,CHD_JM_006,Jan Marg - Seg 6,"30.7585,76.785",,CHANDIGARH,CHDTA,1029,29
30,31.6,34.2,OK,2026-01-15T08:00:00.000,CHD_JM_007,Jan Marg - Seg 7,"30.756,76.788",,CHANDIGARH,CHDTA,1030,30
31,32.8,32.9,OK,2026-01-15T08:00:00.000,CHD_JM_008,Jan Marg - Seg 8,"30.7581,76.791",,CHANDIGARH,CHDTA,1031,31
32,26.8,40.3,OK,2026-01-15T08:00:00.000,CHD_JM_009,Jan Marg - Seg 9,"30.7573,76.794",,CHANDIGARH,CHDTA,1032,32
33,28.4,38.0,OK,2026-01-15T08:00:00.000,CHD_JM_010,Jan Marg - Seg 10,"30.7554,76.797",,CHANDIGARH,CHDTA,1033,33
34,30.1,35.9,OK,2026-01-15T08:00:00.000,CHD_JM_011,Jan Marg - Seg 11,"30.7597,76.8",,CHANDIGARH,CHDTA,1034,34
35,33.8,32.0,OK,2026-01-15T08:00:00.000,CHD_JM_012,Jan Marg - Seg 12,"30.7538,76.803",,CHANDIGARH,CHDTA,1035,35
36,28.5,37.9,OK,2026-01-15T08:00:00.000,CHD_JM_013,Jan Marg - Seg 13,"30.7555,76.806",,CHANDIGARH,CHDTA,1036,36
37,28.3,38.2,OK,2026-01-15T08:00:00.000,CHD_JM_014,Jan Marg - Seg 14,"30.7583,76.809",,CHANDIGARH,CHDTA,1037,37
38,26.1,41.4,OK,2026-01-15T08:00:00.000,CHD_JM_015,Jan Marg - Seg 15,"30.7562,76.812",,CHANDIGARH,CHDTA,1038,38
39,34.5,31.3,OK,2026-01-15T08:00:00.000,CHD_JM_016,Jan Marg - Seg 16,"30.7586,76.815",,CHANDIGARH,CHDTA,1039,39
40,28.4,38.0,OK,2026-01-15T08:00:00.000,CHD_DM_001,Dakshin Marg - Seg 1,"30.7208,76.77",,CHANDIGARH,CHDTA,1040,40
41,38.6,28.0,OK,2026-01-15T08:00:00.000,CHD_DM_002,Dakshin Marg - Seg 2,"30.722,76.7733",,CHANDIGARH,CHDTA,1041,41
42,37.9,28.5,OK,2026-01-15T08:00:00.000,CHD_DM_003,Dakshin Marg - Seg 3,"30.7155,76.7767",,CHANDIGARH,CHDTA,1042,42
43,26.1,41.4,OK,2026-01-15T08:00:00.000,CHD_DM_004,Dakshin Marg - Seg 4,"30.7173,76.78",,CHANDIGARH,CHDTA,1043,43
44,28.6,37.8,OK,2026-01-15T08:00:00.000,CHD_DM_005,Dakshin Marg - Seg 5,"30.7179,76.7833",,CHANDIGARH,CHDTA,1044,44
45,35.0,30.9,OK,2026-01-15T08:00:00.000,CHD_DM_006,Dakshin Marg - Seg 6,"30.7158,76.7867",,CHANDIGARH,CHDTA,1045,45
46,28.2,38.3,OK,2026-01-15T08:00:00.000,CHD_DM_007,Dakshin Marg - Seg 7,"30.7173,76.79",,CHANDIGARH,CHDTA,1046,46
47,27.0,40.0,OK,2026-01-15T08:00:00.000,CHD_DM_008,Dakshin Marg - Seg 8,"30.716,76.7933",,CHANDIGARH,CHDTA,1047,47
48,39.0,27.7,OK,2026-01-15T08:00:00.000,CHD_DM_009,Dakshin Marg - Seg 9,"30.7178,76.7967",,CHANDIGARH,CHDTA,1048,48
49,33.6,32.1,OK,2026-01-15T08:00:00.000,CHD_DM_010,Dakshin Marg - Seg 10,"30.7214,76.8",,CHANDIGARH,CHDTA,1049,49
50,32.1,33.6,OK,2026-01-15T08:00:00.000,CHD_DM_011,Dakshin Marg - Seg 11,"30.7186,76.8033",,CHANDIGARH,CHDTA,1050,50
51,36.8,29.3,OK,2026-01-15T08:00:00.000,CHD_DM_012,Dakshin Marg - Seg 12,"30.7187,76.8067",,CHANDIGARH,CHDTA,1051,51
52,37.1,29.1,OK,2026-01-15T08:00:00.000,CHD_DM_013,Dakshin Marg - Seg 13,"30.7171,76.81",,CHANDIGARH,CHDTA,1052,52
53,27.9,38.7,OK,2026-01-15T08:00:00.000,CHD_DM_014,Dakshin Marg - Seg 14,"30.7177,76.8133",,CHANDIGARH,CHDTA,1053,53
54,26.5,40.8,OK,2026-01-15T08:00:00.000,CHD_DM_015,Dakshin Marg - Seg 15,"30.7244,76.8167",,CHANDIGARH,CHDTA,1054,54
55,31.5,34.3,OK,2026-01-15T08:00:00.000,CHD_DM_016,Dakshin Marg - Seg 16,"30.7215,76.82",,CHANDIGARH,CHDTA,1055,55
56,31.4,34.4,OK,2026-01-15T08:00:00.000,CHD_HM_001,Himalaya Marg - Seg 1,"30.723,76.75",,CHANDIGARH,CHDTA,1056,56
57,32.0,33.8,OK,2026-01-15T08:00:00.000,CHD_HM_002,Himalaya Marg - Seg 2,"30.7209,76.7532",,CHANDIGARH,CHDTA,1057,57
58,35.9,30.1,OK,2026-01-15T08:00:00.000,CHD_HM_003,Himalaya Marg - Seg 3,"30.7236,76.7564",,CHANDIGARH,CHDTA,1058,58
59,35.1,30.8,OK,2026-01-15T08:00:00.000,CHD_HM_004,Himalaya Marg - Seg 4,"30.7208,76.7595",,CHANDIGARH,CHDTA,1059,59
60,39.8,27.1,OK,2026-01-15T08:00:00.000,CHD_HM_005,Himalaya Marg - Seg 5,"30.7219,76.7627",,CHANDIGARH,CHDTA,1060,60
61,26.5,40.8,OK,2026-01-15T08:00:00.000,CHD_HM_006,Himalaya Marg - Seg 6,"30.7249,76.7659",,CHANDIGARH,CHDTA,1061,61
62,31.0,34.8,OK,2026-01-15T08:00:00.000,CHD_HM_007,Himalaya Marg - Seg 7,"30.7232,76.7691",,CHANDIGARH,CHDTA,1062,62
63,30.1,35.9,OK,2026-01-15T08:00:00.000,CHD_HM_008,Himalaya Marg - Seg 8,"30.7228,76.7723",,CHANDIGARH,CHDTA,1063,63
64,37.9,28.5,OK,2026-01-15T08:00:00.000,CHD_HM_009,Himalaya Marg - Seg 9,"30.7234,76.7755",,CHANDIGARH,CHDTA,1064,64
65,28.7,37.6,OK,2026-01-15T08:00:00.000,CHD_HM_010,Himalaya Marg - Seg 10,"30.7242,76.7786",,CHANDIGARH,CHDTA,1065,65
66,27.9,38.7,OK,2026-01-15T08:00:00.000,CHD_HM_011,Himalaya Marg - Seg 11,"30.7239,76.7818",,CHANDIGARH,CHDTA,1066,66
67,31.7,34.1,OK,2026-01-15T08:00:00.000,CHD_HM_012,Himalaya Marg - Seg 12,"30.7211,76.785",,CHANDIGARH,CHDTA,1067,67
68,31.3,34.5,OK,2026-01-15T08:00:00.000,CHD_VP_001,Vidhya Path - Seg 1,"30.7453,76.76",,CHANDIGARH,CHDTA,1068,68
69,29.2,37.0,OK,2026-01-15T08:00:00.000,CHD_VP_002,Vidhya Path - Seg 2,"30.7482,76.7641",,CHANDIGARH,CHDTA,1069,69
70,28.7,37.6,OK,2026-01-15T08:00:00.000,CHD_VP_003,Vidhya Path - Seg 3,"30.7477,76.7682",,CHANDIGARH,CHDTA,1070,70
71,38.8,27.8,OK,2026-01-15T08:00:00.000,CHD_VP_004,Vidhya Path - Seg 4,"30.7471,76.7723",,CHANDIGARH,CHDTA,1071,71
72,31.6,34.2,OK,2026-01-15T08:00:00.000,CHD_VP_005,Vidhya Path - Seg 5,"30.7544,76.7764",,CHANDIGARH,CHDTA,1072,72
73,37.9,28.5,OK,2026-01-15T08:00:00.000,CHD_VP_006,Vidhya Path - Seg 6,"30.7538,76.7805",,CHANDIGARH,CHDTA,1073,73
74,33.3,32.4,OK,2026-01-15T08:00:00.000,CHD_VP_007,Vidhya Path - Seg 7,"30.7481,76.7845",,CHANDIGARH,CHDTA,1074,74
75,25.8,41.9,OK,2026-01-15T08:00:00.000,CHD_VP_008,Vidhya Path - Seg 8,"30.7516,76.7886",,CHANDIGARH,CHDTA,1075,75
76,40.0,27.0,OK,2026-01-15T08:00:00.000,CHD_VP_009,Vidhya Path - Seg 9,"30.749,76.7927",,CHANDIGARH,CHDTA,1076,76
77,37.5,28.8,OK,2026-01-15T08:00:00.000,CHD_VP_010,Vidhya Path - Seg 10,"30.7541,76.7968",,CHANDIGARH,CHDTA,1077,77
78,39.5,27.3,OK,2026-01-15T08:00:00.000,CHD_VP_011,Vidhya Path - Seg 11,"30.7496,76.8009",,CHANDIGARH,CHDTA,1078,78
79,38.9,27.8,OK,2026-01-15T08:00:00.000,CHD_VP_012,Vidhya Path - Seg 12,"30.7476,76.805",,CHANDIGARH,CHDTA,1079,79
80,37.7,28.6,OK,2026-01-15T08:00:00.000,CHD_PM_001,Purv Marg - Seg 1,"30.7125,76.79",,CHANDIGARH,CHDTA,1080,80
81,27.5,39.3,OK,2026-01-15T08:00:00.000,CHD_PM_002,Purv Marg - Seg 2,"30.7156,76.7936",,CHANDIGARH,CHDTA,1081,81
82,32.3,33.4,OK,2026-01-15T08:00:00.000,CHD_PM_003,Purv Marg - Seg 3,"30.7126,76.7973",,CHANDIGARH,CHDTA,1082,82
83,28.2,38.3,OK,2026-01-15T08:00:00.000,CHD_PM_004,Purv Marg - Seg 4,"30.7158,76.8009",,CHANDIGARH,CHDTA,1083,83
84,31.0,34.8,OK,2026-01-15T08:00:00.000,CHD_PM_005,Purv Marg - Seg 5,"30.719,76.8045",,CHANDIGARH,CHDTA,1084,84
85,25.9,41.7,OK,2026-01-15T08:00:00.000,CHD_PM_006,Purv Marg - Seg 6,"30.714,76.8082",,CHANDIGARH,CHDTA,1085,85
86,30.7,35.2,OK,2026-01-15T08:00:00.000,CHD_PM_007,Purv Marg - Seg 7,"30.7122,76.8118",,CHANDIGARH,CHDTA,1086,86
87,39.8,27.1,OK,2026-01-15T08:00:00.000,CHD_PM_008,Purv Marg - Seg 8,"30.72,76.8155",,CHANDIGARH,CHDTA,1087,87
88,29.0,37.2,OK,2026-01-15T08:00:00.000,CHD_PM_009,Purv Marg - Seg 9,"30.7151,76.8191",,CHANDIGARH,CHDTA,1088,88
89,36.8,29.3,OK,2026-01-15T08:00:00.000,CHD_PM_010,Purv Marg - Seg 10,"30.7109,76.8227",,CHANDIGARH,CHDTA,1089,89
90,31.8,34.0,OK,2026-01-15T08:00:00.000,CHD_PM_011,Purv Marg - Seg 11,"30.7105,76.8264",,CHANDIGARH,CHDTA,1090,90
91,31.3,34.5,OK,2026-01-15T08:00:00.000,CHD_PM_012,Purv Marg - Seg 12,"30.7111,76.83",,CHANDIGARH,CHDTA,1091,91
92,39.4,27.4,OK,2026-01-15T08:00:00.000,CHD_S8_001,Sec 8/9 Road - Seg 1,"30.75,76.7791",,CHANDIGARH,CHDTA,1092,92
93,39.9,27.1,OK,2026-01-15T08:00:00.000,CHD_S8_002,Sec 8/9 Road - Seg 2,"30.7521,76.7794",,CHANDIGARH,CHDTA,1093,93
94,33.3,32.4,OK,2026-01-15T08:00:00.000,CHD_S8_003,Sec 8/9 Road - Seg 3,"30.7543,76.7786",,CHANDIGARH,CHDTA,1094,94
95,35.8,30.2,OK,2026-01-15T08:00:00.000,CHD_S8_004,Sec 8/9 Road - Seg 4,"30.7564,76.7779",,CHANDIGARH,CHDTA,1095,95
96,27.3,39.6,OK,2026-01-15T08:00:00.000,CHD_S8_005,Sec 8/9 Road - Seg 5,"30.7586,76.7786",,CHANDIGARH,CHDTA,1096,96
97,29.5,36.6,OK,2026-01-15T08:00:00.000,CHD_S8_006,Sec 8/9 Road - Seg 6,"30.7607,76.7798",,CHANDIGARH,CHDTA,1097,97
98,39.5,27.3,OK,2026-01-15T08:00:00.000,CHD_S8_007,Sec 8/9 Road - Seg 7,"30.7629,76.7789",,CHANDIGARH,CHDTA,1098,98
99,33.7,32.0,OK,2026-01-15T08:00:00.000,CHD_S8_008,Sec 8/9 Road - Seg 8,"30.765,76.7797",,CHANDIGARH,CHDTA,1099,99
100,33.1,32.6,OK,2026-01-15T08:00:00.000,CHD_S16_001,Sec 16/17 Road - Seg 1,"30.75,76.7857",,CHANDIGARH,CHDTA,1100,100
101,36.2,29.8,OK,2026-01-15T08:00:00.000,CHD_S16_002,Sec 16/17 Road - Seg 2,"30.7521,76.784",,CHANDIGARH,CHDTA,1101,101
102,25.9,41.7,OK,2026-01-15T08:00:00.000,CHD_S16_003,Sec 16/17 Road - Seg 3,"30.7543,76.7854",,CHANDIGARH,CHDTA,1102,102
103,33.8,32.0,OK,2026-01-15T08:00:00.000,CHD_S16_004,Sec 16/17 Road - Seg 4,"30.7564,76.7854",,CHANDIGARH,CHDTA,1103,103
104,32.5,33.2,OK,2026-01-15T08:00:00.000,CHD_S16_005,Sec 16/17 Road - Seg 5,"30.7586,76.7851",,CHANDIGARH,CHDTA,1104,104
105,37.8,28.6,OK,2026-01-15T08:00:00.000,CHD_S16_006,Sec 16/17 Road - Seg 6,"30.7607,76.7845",,CHANDIGARH,CHDTA,1105,105
106,27.4,39.4,OK,2026-01-15T08:00:00.000,CHD_S16_007,Sec 16/17 Road - Seg 7,"30.7629,76.7853",,CHANDIGARH,CHDTA,1106,106
107,39.4,27.4,OK,2026-01-15T08:00:00.000,CHD_S16_008,Sec 16/17 Road - Seg 8,"30.765,76.7842",,CHANDIGARH,CHDTA,1107,107
108,26.2,41.2,OK,2026-01-15T08:00:00.000,CHD_S22_001,Sec 22/23 Road - Seg 1,"30.75,76.7919",,CHANDIGARH,CHDTA,1108,108
109,27.8,38.8,OK,2026-01-15T08:00:00.000,CHD_S22_002,Sec 22/23 Road - Seg 2,"30.7521,76.7919",,CHANDIGARH,CHDTA,1109,109
110,33.9,31.9,OK,2026-01-15T08:00:00.000,CHD_S22_003,Sec 22/23 Road - Seg 3,"30.7543,76.7929",,CHANDIGARH,CHDTA,1110,110
111,35.1,30.8,OK,2026-01-15T08:00:00.000,CHD_S22_004,Sec 22/23 Road - Seg 4,"30.7564,76.7928",,CHANDIGARH,CHDTA,1111,111
112,28.5,37.9,OK,2026-01-15T08:00:00.000,CHD_S22_005,Sec 22/23 Road - Seg 5,"30.7586,76.7915",,CHANDIGARH,CHDTA,1112,112
113,26.8,40.3,OK,2026-01-15T08:00:00.000,CHD_S22_006,Sec 22/23 Road - Seg 6,"30.7607,76.792",,CHANDIGARH,CHDTA,1113,113
114,38.4,28.1,OK,2026-01-15T08:00:00.000,CHD_S22_007,Sec 22/23 Road - Seg 7,"30.7629,76.7914",,CHANDIGARH,CHDTA,1114,114
115,28.7,37.6,OK,2026-01-15T08:00:00.000,CHD_S22_008,Sec 22/23 Road - Seg 8,"30.765,76.7928",,CHANDIGARH,CHDTA,1115,115
116,33.9,31.9,OK,2026-01-15T08:00:00.000,CHD_S34_001,Sec 34/35 Road - Seg 1,"30.75,76.7997",,CHANDIGARH,CHDTA,1116,116
117,34.3,31.5,OK,2026-01-15T08:00:00.000,CHD_S34_002,Sec 34/35 Road - Seg 2,"30.7521,76.7986",,CHANDIGARH,CHDTA,1117,117
118,31.3,34.5,OK,2026-01-15T08:00:00.000,CHD_S34_003,Sec 34/35 Road - Seg 3,"30.7543,76.7993",,CHANDIGARH,CHDTA,1118,118
119,33.8,32.0,OK,2026-01-15T08:00:00.000,CHD_S34_004,Sec 34/35 Road - Seg 4,"30.7564,76.7992",,CHANDIGARH,CHDTA,1119,119
120,32.8,32.9,OK,2026-01-15T08:00:00.000,CHD_S34_005,Sec 34/35 Road - Seg 5,"30.7586,76.7983",,CHANDIGARH,CHDTA,1120,120
121,39.0,27.7,OK,2026-01-15T08:00:00.000,CHD_S34_006,Sec 34/35 Road - Seg 6,"30.7607,76.7995",,CHANDIGARH,CHDTA,1121,121
122,28.1,38.4,OK,2026-01-15T08:00:00.000,CHD_S34_007,Sec 34/35 Road - Seg 7,"30.7629,76.7991",,CHANDIGARH,CHDTA,1122,122
123,35.7,30.3,OK,2026-01-15T08:00:00.000,CHD_S34_008,Sec 34/35 Road - Seg 8,"30.765,76.7996",,CHANDIGARH,CHDTA,1123,123
124,28.6,37.8,OK,2026-01-15T08:00:00.000,CHD_EL_001,Elante Mall Approach - Seg 1,"30.7061,76.8016",,CHANDIGARH,CHDTA,1124,124
125,30.9,35.0,OK,2026-01-15T08:00:00.000,CHD_EL_002,Elante Mall Approach - Seg 2,"30.7071,76.8024",,CHANDIGARH,CHDTA,1125,125
126,35.1,30.8,OK,2026-01-15T08:00:00.000,CHD_EL_003,Elante Mall Approach - Seg 3,"30.7081,76.8032",,CHANDIGARH,CHDTA,1126,126
127,29.5,36.6,OK,2026-01-15T08:00:00.000,CHD_EL_004,Elante Mall Approach - Seg 4,"30.7091,76.804",,CHANDIGARH,CHDTA,1127,127
128,29.7,36.4,OK,2026-01-15T08:00:00.000,CHD_EL_005,Elante Mall Approach - Seg 5,"30.7101,76.8048",,CHANDIGARH,CHDTA,1128,128
129,36.3,29.8,OK,2026-01-15T08:00:00.000,CHD_IT_001,IT Park Approach - Seg 1,"30.727,76.801",,CHANDIGARH,CHDTA,1129,129
130,26.1,41.4,OK,2026-01-15T08:00:00.000,CHD_IT_002,IT Park Approach - Seg 2,"30.728,76.8018",,CHANDIGARH,CHDTA,1130,130
131,31.9,33.9,OK,2026-01-15T08:00:00.000,CHD_IT_003,IT Park Approach - Seg 3,"30.729,76.8026",,CHANDIGARH,CHDTA,1131,131
132,40.0,27.0,OK,2026-01-15T08:00:00.000,CHD_IT_004,IT Park Approach - Seg 4,"30.73,76.8034",,CHANDIGARH,CHDTA,1132,132
133,39.9,27.1,OK,2026-01-15T08:00:00.000,CHD_IT_005,IT Park Approach - Seg 5,"30.731,76.8042",,CHANDIGARH,CHDTA,1133,133
134,26.1,41.4,OK,2026-01-15T08:00:00.000,CHD_PG_001,PGI Hospital Approach - Seg 1,"30.7646,76.776",,CHANDIGARH,CHDTA,1134,134
135,28.2,38.3,OK,2026-01-15T08:00:00.000,CHD_PG_002,PGI Hospital Approach - Seg 2,"30.7654,76.7766",,CHANDIGARH,CHDTA,1135,135
136,29.0,37.2,OK,2026-01-15T08:00:00.000,CHD_PG_003,PGI Hospital Approach - Seg 3,"30.7662,76.7772",,CHANDIGARH,CHDTA,1136,136
137,39.0,27.7,OK,2026-01-15T08:00:00.000,CHD_PG_004,PGI Hospital Approach - Seg 4,"30.767,76.7778",,CHANDIGARH,CHDTA,1137,137
138,38.2,28.3,OK,2026-01-15T08:00:00.000,CHD_PG_005,PGI Hospital Approach - Seg 5,"30.7678,76.7784",,CHANDIGARH,CHDTA,1138,138
139,38.2,28.3,OK,2026-01-15T08:00:00.000,CHD_IB_001,ISBT Approach - Seg 1,"30.7226,76.7511",,CHANDIGARH,CHDTA,1139,139
140,30.5,35.4,OK,2026-01-15T08:00:00.000,CHD_IB_002,ISBT Approach - Seg 2,"30.7235,76.7521",,CHANDIGARH,CHDTA,1140,140
141,27.4,39.4,OK,2026-01-15T08:00:00.000,CHD_IB_003,ISBT Approach - Seg 3,"30.7244,76.7531",,CHANDIGARH,CHDTA,1141,141
142,37.5,28.8,OK,2026-01-15T08:00:00.000,CHD_IB_004,ISBT Approach - Seg 4,"30.7253,76.7541",,CHANDIGARH,CHDTA,1142,142
143,35.6,30.3,OK,2026-01-15T08:00:00.000,CHD_IB_005,ISBT Approach - Seg 5,"30.7262,76.7551",,CHANDIGARH,CHDTA,1143,143
144,34.2,31.6,OK,2026-01-15T08:00:00.000,CHD_RG_001,Rock Garden Approach - Seg 1,"30.745,76.814",,CHANDIGARH,CHDTA,1144,144
145,39.8,27.1,OK,2026-01-15T08:00:00.000,CHD_RG_002,Rock Garden Approach - Seg 2,"30.7462,76.815",,CHANDIGARH,CHDTA,1145,145
146,34.8,31.0,OK,2026-01-15T08:00:00.000,CHD_RG_003,Rock Garden Approach - Seg 3,"30.7474,76.816",,CHANDIGARH,CHDTA,1146,146
147,25.1,43.0,OK,2026-01-15T08:00:00.000,CHD_RS_001,Rose Garden Approach - Seg 1,"30.738,76.782",,CHANDIGARH,CHDTA,1147,147
148,37.3,29.0,OK,2026-01-15T08:00:00.000,CHD_RS_002,Rose Garden Approach - Seg 2,"30.739,76.7828",,CHANDIGARH,CHDTA,1148,148
149,29.5,36.6,OK,2026-01-15T08:00:00.000,CHD_RS_003,Rose Garden Approach - Seg 3,"30.74,76.7836",,CHANDIGARH,CHDTA,1149,149
150,35.0,30.9,OK,2026-01-15T08:00:00.000,CHD_RS_004,Rose Garden Approach - Seg 4,"30.741,76.7844",,CHANDIGARH,CHDTA,1150,150
151,39.1,27.6,OK,2026-01-15T08:05:00.000,CHD_MM_001,Madhya Marg - Sec 1 to 2,"30.765,76.7764",,CHANDIGARH,CHDTA,1151,151
152,27.0,40.0,OK,2026-01-15T08:05:00.000,CHD_MM_002,Madhya Marg - Sec 2 to 3,"30.7623,76.7747",,CHANDIGARH,CHDTA,1152,152
153,26.7,40.4,OK,2026-01-15T08:05:00.000,CHD_MM_003,Madhya Marg - Sec 3 to 4,"30.7595,76.7754",,CHANDIGARH,CHDTA,1153,153
154,26.6,40.6,OK,2026-01-15T08:05:00.000,CHD_MM_004,Madhya Marg - Sec 4 to 5,"30.7568,76.7752",,CHANDIGARH,CHDTA,1154,154
155,33.3,32.4,OK,2026-01-15T08:05:00.000,CHD_MM_005,Madhya Marg - Sec 5 to 6,"30.7541,76.7767",,CHANDIGARH,CHDTA,1155,155
156,29.1,37.1,OK,2026-01-15T08:05:00.000,CHD_MM_006,Madhya Marg - Sec 6 to 7,"30.7514,76.7765",,CHANDIGARH,CHDTA,1156,156
157,34.1,31.7,OK,2026-01-15T08:05:00.000,CHD_MM_007,Madhya Marg - Sec 7 to 8,"30.7486,76.7771",,CHANDIGARH,CHDTA,1157,157
158,35.8,30.2,OK,2026-01-15T08:05:00.000,CHD_MM_008,Madhya Marg - Sec 8 to 9,"30.7459,76.7748",,CHANDIGARH,CHDTA,1158,158
159,28.1,38.4,OK,2026-01-15T08:05:00.000,CHD_MM_009,Madhya Marg - Sec 9 to 10,"30.7432,76.7758",,CHANDIGARH,CHDTA,1159,159
160,34.5,31.3,OK,2026-01-15T08:05:00.000,CHD_MM_010,Madhya Marg - Sec 10 to 11,"30.7405,76.7747",,CHANDIGARH,CHDTA,1160,160
161,29.0,37.2,OK,2026-01-15T08:05:00.000,CHD_MM_011,Madhya Marg - Sec 11 to 12,"30.7377,76.7752",,CHANDIGARH,CHDTA,1161,161
162,32.3,33.4,OK,2026-01-15T08:05:00.000,CHD_MM_012,Madhya Marg - Sec 12 to 13,"30.735,76.776",,CHANDIGARH,CHDTA,1162,162
163,38.6,28.0,OK,2026-01-15T08:05:00.000,CHD_MM_013,Madhya Marg - Sec 13 to 14,"30.7323,76.7747",,CHANDIGARH,CHDTA,1163,163
164,37.7,28.6,OK,2026-01-15T08:05:00.000,CHD_MM_014,Madhya Marg - Sec 14 to 15,"30.7295,76.7752",,CHANDIGARH,CHDTA,1164,164
